Darwin johnsonlee.local 23.3.0 Darwin Kernel Version 23.3.0: Wed Dec 20 21:31:10 PST 2023; root:xnu-10002.81.5~7/RELEASE_ARM64_T6031 arm64 arm Darwin
hw.memsize: 68719476736
hw.logicalcpu: 16
machdep.cpu.brand_string: Apple M3 Max
go version go1.22.0 darwin/arm64

  PID  %CPU    RSS COMM
  750   0.0  27440 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
  751   0.0  36320 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
  752   0.0  55712 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension
  753   0.0  24320 /System/Library/CoreServices/audioaccessoryd
  754   0.0  15808 /usr/libexec/bluetoothuserd
  755   0.0  15088 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
  756   0.0  12368 /usr/libexec/neagent
  759   0.0   9664 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  760   0.0   9584 /usr/libexec/nfcd
  761   0.0   9952 /usr/libexec/seserviced
  762   0.0  23648 /usr/sbin/spindump
  763   0.0   6400 /usr/libexec/sysmond
  764   0.0  14128 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  765   0.0  16256 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  766   0.0  13136 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
  767   0.0  10992 /usr/libexec/linkd
  768   0.0   4256 /usr/libexec/spindump_agent
  769   0.0  25568 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  770   0.0  13936 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
  771   0.0   3840 /System/Library/PrivateFrameworks/CSExattrCrypto.framework/Versions/A/XPCServices/CSExattrCryptoService.xpc/Contents/MacOS/CSExattrCryptoService
  772   0.0  24368 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
