index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
10	four-contains-or-unlabeled-zero	contains	four-contains-or-unlabeled	success	1	successful-latency	1472958	2168167	0.679356341093652	0	173	21514b44bab7a7f1a700cdc7119f3ce1b4ea8304c84e402ddb5f9775b21dd8af				
11	four-contains-or-unlabeled-targeted	contains	four-contains-or-unlabeled	success	1	successful-latency	2711709	756334	3.5853326704868484	200	112015	9f09930cd4aa7572add3e43b8434a4721a3b0f6622af359dc299310f9bbd7e96				
12	four-contains-or-unlabeled-dense	contains	four-contains-or-unlabeled	success	1	successful-latency	80373750	2585625	31.08484408992023	200	99187	4288f8530cba49c2f9780fe900f62e94fc14fc44b47b140457d983d5fcd2dd5c				
13	four-contains-or-labeled-zero	contains	four-contains-or-labeled	success	1	successful-latency	1546000	2237292	0.6910139579455878	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
14	four-contains-or-labeled-targeted	contains	four-contains-or-labeled	success	1	successful-latency	11542375	11674083	0.9887179147175842	200	86272	94ef562421942882b2562b2b8a3d6905607c166fc039d3daec1c50e988a8c0eb				
15	four-contains-or-labeled-dense	contains	four-contains-or-labeled	success	1	successful-latency	796084	482583	1.6496312551416026	200	82009	e65f72b24be32eccca575f0ae4151e8dee6e89e2971db9727071b046e14b3ea4				
16	starts-or-raw-zero	contains	starts-or-raw	success	1	successful-latency	136609417	228103833	0.5988913697912301	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
17	starts-or-raw-targeted	contains	starts-or-raw	success	1	successful-latency	22639875	64953792	0.3485535532706081	100	30972	a7b9846908febb502abd47dcc7269165df8c94605a7dcdc63931103d82b581a2				
18	starts-or-raw-dense	contains	starts-or-raw	success	1	successful-latency	594542	886458	0.6706939302256847	100	30214	0740bcf1983553477a227138dc3b3ed095f06c984728dcc1bbffb3b71959a13b				
19	ends-or-raw-zero	contains	ends-or-raw	success	1	successful-latency	83927583	187118083	0.44852737722842106	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
20	ends-or-raw-targeted	contains	ends-or-raw	success	1	successful-latency	22795834	190675167	0.11955323998745992	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
21	ends-or-raw-dense	contains	ends-or-raw	success	1	successful-latency	13645000	2183208	6.249977097921957	100	26415	4293914be7e842e02606eeadfc7b0586191868e301451883db95dbd7efbd0963				
22	starts-or-wrapped-zero	wrapped	starts-or-wrapped	success	1	successful-latency	161391084	565712500	0.28528817022781006	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
23	starts-or-wrapped-targeted	wrapped	starts-or-wrapped	success	1	successful-latency	106384750	669833875	0.1588225886605093	100	33663	4019ab262ff47d06b6a1a9ec26de3964105a48177a5693ae58c1ccbe789292d6				
24	starts-or-wrapped-dense	wrapped	starts-or-wrapped	success	1	successful-latency	140957875	592290208	0.23798785307624062	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
