index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
64	graph-id-property-wrapped-contains-target-11-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	21660958	12518000	1.7303848857644992	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
65	graph-id-property-wrapped-contains-target-11-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	351208	2157000	0.16282243857209086	1	758	f8ea31527e372a7d8e0f896bc894b97d788067aa20d0af371a4239382f72a4d1				
66	graph-id-property-wrapped-contains-target-11-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1795542	18587917	0.09659726799942134	200	84862	36598e3ab73085dce50e849dda8b6a32b1088eab3f02f052e9536f16613b5d4b				
67	graph-id-property-wrapped-contains-target-12-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	24101333	15135500	1.592371114267781	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
68	graph-id-property-wrapped-contains-target-12-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	340625	2332125	0.14605777992174518	2	1348	569ba2c2d8626f5c6804b713aa9f9bd5155648246e0bb082ab37cf407a3ccee9				
69	graph-id-property-wrapped-contains-target-12-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1708458	21110541	0.08092914340755171	200	85894	f22afa8ccaad259750ce50e850502822308b2565f707f284de32cd44d5ef328a				
70	graph-id-property-wrapped-contains-target-13-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	23316000	15261583	1.5277576382476181	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
71	graph-id-property-wrapped-contains-target-13-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	295334	2334458	0.12651073611090882	5	2824	ebb699b5b0554cc639408add00ca9d9aae37f3553c5e6ea606cb7e66e171933f				
72	graph-id-property-wrapped-contains-target-13-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1787875	22322625	0.08009250704162257	200	86344	2e714969993f2a86ba5c715dc52b2c7d6dbaed9b2320da2399ecdf29ec9f1e4e				
73	graph-id-property-wrapped-contains-target-14-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	22256500	14602000	1.524209012464046	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
74	graph-id-property-wrapped-contains-target-14-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	328042	2277459	0.14403859740175345	3	1887	cfce92c06f8a0a93444f0ec3592aad57c255799cc7a1286e673f5c8cc3173d20				
75	graph-id-property-wrapped-contains-target-14-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1752459	20270625	0.08645313107020627	200	88102	f384f54b9e0494c603dd9e83eb2ca0ad0386a359a2e1d6a356e225c072977e41				
76	graph-id-property-wrapped-contains-target-15-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	20846792	15862417	1.3142254424404554	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
77	graph-id-property-wrapped-contains-target-15-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	296292	2162875	0.13698988614691093	1	765	ae20f86c5a0d43140079bdbb52041ad145178823d6189b8171bbe58dc0d82dcc				
78	graph-id-property-wrapped-contains-target-15-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1586625	16935750	0.0936849563792569	200	82358	6db1e45464dd1e42fc627a3ee68393b586d132e4817f87f1da72cb180e7925bb				
79	graph-id-property-wrapped-contains-target-16-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	12769750	7839625	1.6288725544908078	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
80	graph-id-property-wrapped-contains-target-16-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	282500	1411209	0.20018296368574748	1	771	41ad9b5110585bc89df35b9d0a0c6bd66daaf6c239b4212552d078b2f2a28c34				
81	graph-id-property-wrapped-contains-target-16-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1312916	12047625	0.10897716354883225	200	94237	51b180cd96740a311cc61165baa84cc05517b2f28ac6c70debc25f8e14514414				
82	graph-id-property-wrapped-contains-target-17-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	14095500	8789916	1.6035989422424515	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
