index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
246	graph-id-function-wrapped-contains-target-07-dense	success	0.1385	0.46575	0.1285	0.455709	-0.010041
247	graph-id-function-wrapped-contains-target-08-zero	success	0.071083	0.307083	0.057791	0.307833	0.00075
248	graph-id-function-wrapped-contains-target-08-targeted	success	0.05575	0.303334	0.052083	0.311542	0.008208
249	graph-id-function-wrapped-contains-target-08-dense	success	0.128667	0.448417	0.123958	0.448541	0.000124
250	graph-id-function-wrapped-contains-target-09-zero	success	0.062916	0.302042	0.051	0.333125	0.031083
251	graph-id-function-wrapped-contains-target-09-targeted	success	0.051875	0.283166	0.071458	0.311334	0.028168
252	graph-id-function-wrapped-contains-target-09-dense	success	0.118625	0.445917	0.128583	0.45825	0.012333
253	graph-id-function-wrapped-contains-target-10-zero	success	0.083125	0.316083	0.094	0.3115	-0.004583
254	graph-id-function-wrapped-contains-target-10-targeted	success	0.056	0.29775	0.053209	0.335542	0.037792
255	graph-id-function-wrapped-contains-target-10-dense	success	0.164917	0.462583	0.139333	0.472667	0.010084
256	graph-id-function-wrapped-contains-target-11-zero	success	0.06875	0.311833	0.170167	0.31625	0.004417
257	graph-id-function-wrapped-contains-target-11-targeted	success	0.061625	0.289125	0.0885	0.310042	0.020917
258	graph-id-function-wrapped-contains-target-11-dense	success	0.129916	0.448833	0.125917	0.465334	0.016501
259	graph-id-function-wrapped-contains-target-12-zero	success	0.059167	0.298542	0.056375	0.3105	0.011958
260	graph-id-function-wrapped-contains-target-12-targeted	success	0.041042	0.292542	0.043458	0.33825	0.045708
261	graph-id-function-wrapped-contains-target-12-dense	success	0.107042	0.447708	0.104209	0.456625	0.008917
262	graph-id-function-wrapped-contains-target-13-zero	success	0.061292	0.313583	0.038708	0.310542	-0.003041
263	graph-id-function-wrapped-contains-target-13-targeted	success	0.05075	0.30375	0.036084	0.298375	-0.005375
264	graph-id-function-wrapped-contains-target-13-dense	success	0.122292	0.462208	0.102459	0.462208	0.0
265	graph-id-function-wrapped-contains-target-14-zero	success	0.044084	0.323166	0.03875	0.313917	-0.009249
266	graph-id-function-wrapped-contains-target-14-targeted	success	0.037833	0.309542	0.0325	0.297875	-0.011667
267	graph-id-function-wrapped-contains-target-14-dense	success	0.103666	0.47425	0.096458	0.471375	-0.002875
268	graph-id-function-wrapped-contains-target-15-zero	success	0.043125	0.315625	0.0435	0.314292	-0.001333
269	graph-id-function-wrapped-contains-target-15-targeted	success	0.04125	0.304292	0.128125	0.308875	0.004583
270	graph-id-function-wrapped-contains-target-15-dense	success	0.10925	0.466292	0.121708	0.467375	0.001083
271	graph-id-function-wrapped-contains-target-16-zero	success	0.070875	0.342375	0.069166	0.307833	-0.034542
272	graph-id-function-wrapped-contains-target-16-targeted	success	0.054542	0.329291	0.065417	0.306292	-0.022999
273	graph-id-function-wrapped-contains-target-16-dense	success	0.143875	0.495791	0.110667	0.452	-0.043791
274	graph-id-function-wrapped-contains-target-17-zero	success	0.062708	0.307584	0.045	0.307666	8.2e-05
275	graph-id-function-wrapped-contains-target-17-targeted	success	0.042292	0.315041	0.036958	0.301666	-0.013375
276	graph-id-function-wrapped-contains-target-17-dense	success	0.111875	0.474875	0.100209	0.459417	-0.015458
277	graph-id-function-wrapped-contains-target-18-zero	success	0.043833	0.314708	0.039375	0.311041	-0.003667
278	graph-id-function-wrapped-contains-target-18-targeted	success	0.064458	0.321208	0.036875	0.334458	0.01325
279	graph-id-function-wrapped-contains-target-18-dense	success	0.116458	0.486417	0.096875	0.485	-0.001417
280	graph-id-function-wrapped-contains-target-19-zero	success	0.03775	0.32275	0.037166	0.315875	-0.006875
281	graph-id-function-wrapped-contains-target-19-targeted	success	0.043292	0.297875	0.034167	0.307791	0.009916
282	graph-id-function-wrapped-contains-target-19-dense	success	0.111125	0.449083	0.097417	0.452625	0.003542
283	graph-id-function-wrapped-contains-target-20-zero	success	0.0475	0.304625	0.034875	0.310375	0.00575
284	graph-id-function-wrapped-contains-target-20-targeted	success	0.033416	0.291583	0.030542	0.297	0.005417
285	graph-id-function-wrapped-contains-target-20-dense	success	0.112	0.452584	0.10575	0.460292	0.007708
286	graph-id-function-wrapped-contains-target-21-zero	success	0.06425	0.314167	0.063458	0.313709	-0.000458
287	graph-id-function-wrapped-contains-target-21-targeted	success	0.054833	0.29775	0.051958	0.291834	-0.005916
288	graph-id-function-wrapped-contains-target-21-dense	success	0.118958	0.451084	0.097708	0.44675	-0.004334
289	graph-id-function-wrapped-contains-target-22-zero	success	0.035666	0.306417	0.034459	0.315625	0.009208
290	graph-id-function-wrapped-contains-target-22-targeted	success	0.042	0.299375	0.034791	0.308	0.008625
291	graph-id-function-wrapped-contains-target-22-dense	success	0.107084	0.4595	0.093834	0.465875	0.006375
292	graph-id-function-wrapped-contains-target-23-zero	success	0.044667	0.304959	0.048042	0.30325	-0.001709
293	graph-id-function-wrapped-contains-target-23-targeted	success	0.101416	0.310541	0.22525	0.302583	-0.007958
294	graph-id-function-wrapped-contains-target-23-dense	success	0.112875	0.46675	0.164417	0.455209	-0.011541
295	graph-id-function-wrapped-contains-target-24-zero	success	0.047125	0.311334	0.076792	0.3075	-0.003834
296	graph-id-function-wrapped-contains-target-24-targeted	success	0.030209	0.304833	0.057375	0.296167	-0.008666
297	graph-id-function-wrapped-contains-target-24-dense	success	0.120416	0.460416	0.117667	0.461542	0.001126
298	graph-id-function-wrapped-contains-target-25-zero	success	0.041625	0.309917	0.05425	0.304709	-0.005208
299	graph-id-function-wrapped-contains-target-25-targeted	success	0.034167	0.337	0.052833	0.320792	-0.016208
300	graph-id-function-wrapped-contains-target-25-dense	success	0.107125	0.462125	0.113375	0.463917	0.001792
301	graph-id-function-wrapped-contains-target-26-zero	success	0.038583	0.321	0.052208	0.305791	-0.015209
