index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
227	graph-id-function-wrapped-contains-target-01-targeted	success	0.073084	0.308083	0.041792	0.319667	0.011584
228	graph-id-function-wrapped-contains-target-01-dense	success	0.154625	0.46825	0.108166	0.452833	-0.015417
229	graph-id-function-wrapped-contains-target-02-zero	success	0.060042	0.301042	0.047792	0.305	0.003958
230	graph-id-function-wrapped-contains-target-02-targeted	success	0.055917	0.334292	0.056459	0.305875	-0.028417
231	graph-id-function-wrapped-contains-target-02-dense	success	0.134084	0.484291	0.116458	0.472	-0.012291
232	graph-id-function-wrapped-contains-target-03-zero	success	0.060041	0.310375	0.048083	0.325291	0.014916
233	graph-id-function-wrapped-contains-target-03-targeted	success	0.04425	0.297292	0.0565	0.296958	-0.000334
234	graph-id-function-wrapped-contains-target-03-dense	success	0.113208	0.446208	0.104458	0.4565	0.010292
235	graph-id-function-wrapped-contains-target-04-zero	success	0.046667	0.312917	0.044875	0.320667	0.00775
236	graph-id-function-wrapped-contains-target-04-targeted	success	0.050084	0.321042	0.039042	0.313459	-0.007583
237	graph-id-function-wrapped-contains-target-04-dense	success	0.117041	0.474583	0.101333	0.477917	0.003334
238	graph-id-function-wrapped-contains-target-05-zero	success	0.049333	0.314208	0.043792	0.309833	-0.004375
239	graph-id-function-wrapped-contains-target-05-targeted	success	0.051334	0.315375	0.062208	0.299792	-0.015583
240	graph-id-function-wrapped-contains-target-05-dense	success	0.136583	0.487541	0.112125	0.482417	-0.005124
241	graph-id-function-wrapped-contains-target-06-zero	success	0.043625	0.312459	0.047208	0.304167	-0.008292
242	graph-id-function-wrapped-contains-target-06-targeted	success	0.039	0.30325	0.035416	0.294958	-0.008292
243	graph-id-function-wrapped-contains-target-06-dense	success	0.116958	0.475959	0.1005	0.458916	-0.017043
244	graph-id-function-wrapped-contains-target-07-zero	success	0.073625	0.304875	0.0395	0.316041	0.011166
245	graph-id-function-wrapped-contains-target-07-targeted	success	0.048	0.286792	0.037541	0.292292	0.0055
246	graph-id-function-wrapped-contains-target-07-dense	success	0.13025	0.447709	0.115375	0.466959	0.01925
247	graph-id-function-wrapped-contains-target-08-zero	success	0.056292	0.313083	0.04825	0.306458	-0.006625
248	graph-id-function-wrapped-contains-target-08-targeted	success	0.037291	0.292625	0.120083	0.2915	-0.001125
249	graph-id-function-wrapped-contains-target-08-dense	success	0.145666	0.468666	0.137167	0.448042	-0.020624
